Day, Price Man-hour, Price Potatoe, Price Land, Price Index, Inflation rate, Man-hour/Price Index, Potatoe/Price Index, Land/Price Index, Volume Man-hour, Volume Potatoe, Volume Land
0, 10.473816, 0.0, 0.0, 10.473816, 0.0, 1.0, 0.9807006, 0.9517272, 28.003166, 0.0, 0.0
1, 10.166595, 9.547619, 0.0, 9.735508, -0.07309861, 1.0442799, 0.99854535, 0.95223045, 28.00312, 64.2496, 0.0
2, 9.839736, 9.81009, 0.0, 9.824381, 0.009087324, 1.001563, 1.0273348, 0.9565383, 28.003077, 30.089226, 0.0
3, 9.523394, 10.079767, 0.0, 9.81157, -0.0013048218, 0.9706289, 1.0588049, 0.9620628, 28.003033, 30.089163, 0.0
4, 9.187876, 10.384331, 0.0, 9.807596, -4.0511007E-4, 0.9368122, 1.0900782, 0.9903555, 28.00048, 30.087431, 0.0
5, 8.864191, 10.698117, 0.0, 9.814082, 6.6109933E-4, 0.9032114, 1.1240946, 1.0043014, 28.002945, 30.089039, 0.0
6, 8.522063, 11.053462, 0.0, 9.833214, 0.0019475115, 0.866661, 1.1684102, 1.0326585, 28.002903, 30.088978, 0.0
7, 8.193147, 11.4206, 0.0, 9.774478, -0.005991121, 0.83821833, 1.2029188, 1.04292, 31.321724, 30.088919, 0.0
8, 7.8468037, 11.837617, 0.0, 9.840745, 0.0067567183, 0.797379, 1.2229512, 1.0597293, 34.708, 34.657078, 0.0
9, 8.729311, 12.269853, 0.0, 10.032987, 0.019346911, 0.87006104, 1.0947026, 1.0452946, 67.1182, 39.117382, 0.0
10, 8.877633, 10.828461, 0.0, 9.891692, -0.014183099, 0.89748377, 1.1017376, 1.0801142, 100.63179, 108.93465, 0.0
11, 8.829888, 10.922512, 0.0, 9.913896, 0.0022421405, 0.8906578, 1.1098808, 1.1443893, 135.54512, 145.67677, 0.0
12, 8.779126, 11.096105, 0.0, 9.997564, 0.008404125, 0.8781265, 1.0690316, 1.2097864, 165.63722, 183.71541, 0.0
13, 9.619762, 11.224442, 0.0, 10.499635, 0.048998974, 0.91619974, 1.0334598, 1.2664164, 178.01033, 216.09367, 0.0
14, 9.406007, 10.175391, 0.0, 9.845948, -0.06428045, 0.9553175, 1.0565331, 1.3338025, 193.0461, 257.79572, 0.0
15, 9.293261, 10.520284, 0.0, 9.957363, 0.011252268, 0.9333054, 1.0568928, 1.3758724, 188.97433, 222.94147, 0.0
16, 9.335347, 10.491847, 0.0, 9.927069, -0.0030470514, 0.94039315, 1.0621686, 1.4536036, 205.76973, 215.5859, 0.0
17, 9.321074, 10.6331415, 0.0, 10.010785, 0.008397783, 0.93110317, 1.0738344, 1.516698, 228.11633, 252.8044, 0.0
18, 9.54078, 11.126484, 0.0, 10.361452, 0.034429368, 0.9207957, 1.1125708, 1.6096498, 222.72177, 238.92047, 0.0
19, 9.921151, 12.380092, 0.0, 11.127464, 0.071323924, 0.89159137, 1.0935409, 1.7119409, 275.15845, 264.98495, 0.0
20, 10.309733, 12.417447, 0.0, 11.355266, 0.020265255, 0.90792537, 1.0642056, 1.7774186, 315.47012, 310.52524, 0.0
21, 10.635661, 12.065576, 0.0, 11.337636, -0.001553757, 0.93808454, 1.0931225, 1.8966608, 352.26593, 339.70132, 0.0
22, 10.311884, 12.365486, 0.0, 11.3120775, -0.0022568482, 0.9115818, 1.1035082, 2.0339608, 346.84152, 329.31985, 0.0
23, 10.375371, 12.671585, 0.0, 11.483, 0.014996701, 0.90354186, 1.1002237, 2.185922, 340.14044, 316.97302, 0.0
24, 10.504838, 12.712017, 0.0, 11.55403, 0.0061666667, 0.9091925, 1.1259947, 2.3619332, 352.4521, 319.33875, 0.0
25, 10.275864, 13.0560055, 0.0, 11.595086, 0.0035470661, 0.88622576, 1.1141001, 2.5489964, 346.44293, 312.8408, 0.0
26, 10.323653, 12.861158, 0.0, 11.543988, -0.0044165943, 0.89428824, 1.0818427, 2.7659423, 338.82126, 313.9119, 0.0
27, 10.527879, 12.3338585, 0.0, 11.400787, -0.012482382, 0.9234344, 1.056911, 3.0032446, 347.41193, 325.01138, 0.0
28, 10.688179, 11.942607, 0.0, 11.29954, -0.00892044, 0.9458951, 1.0304796, 3.2808626, 352.52896, 335.14737, 0.0
29, 10.825691, 11.495773, 0.0, 11.155751, -0.012806809, 0.97041345, 1.0004582, 3.6040535, 358.52396, 348.0198, 0.0
30, 10.911887, 10.922021, 0.0, 10.917018, -0.02163232, 0.99953, 0.9871452, 3.9674585, 366.02472, 375.3884, 0.0
31, 10.795682, 10.50923, 0.0, 10.646083, -0.02513083, 1.014052, 0.95858896, 4.3763022, 360.0459, 393.57968, 0.0
32, 10.963324, 10.01208, 0.0, 10.444602, -0.019106729, 1.0496641, 0.9459979, 4.8343487, 346.01105, 414.96945, 0.0
33, 10.730383, 9.517345, 0.0, 10.060641, -0.03745438, 1.0665705, 0.9330419, 5.343392, 353.9844, 436.36957, 0.0
34, 10.620325, 9.126455, 0.0, 9.7814, -0.028148314, 1.0857674, 0.9088249, 5.88966, 346.94745, 444.4081, 0.0
35, 10.7035675, 8.661537, 0.0, 9.530479, -0.025987571, 1.123088, 0.90106195, 6.492036, 346.29617, 467.50565, 0.0
36, 10.520625, 8.371898, 0.0, 9.291145, -0.025433194, 1.1323282, 0.89747953, 7.128347, 359.47397, 480.79065, 0.0
37, 10.444577, 8.22854, 0.0, 9.168499, -0.013288245, 1.1391807, 0.8850133, 7.629723, 358.85434, 487.17697, 0.0
38, 10.649248, 8.171625, 0.0, 9.233336, 0.0070468755, 1.1533477, 0.8863808, 7.893399, 366.98407, 489.4146, 0.0
39, 10.865493, 8.47233, 0.0, 9.558341, 0.034593716, 1.1367551, 0.8928054, 7.9657736, 351.86246, 423.51108, 0.0
40, 11.129649, 8.874065, 0.0, 9.939529, 0.039105497, 1.1197361, 0.9038311, 8.533136, 335.97678, 375.28503, 0.0
41, 11.409816, 9.316837, 0.0, 10.308162, 0.036416307, 1.106872, 0.9201055, 9.089779, 309.55563, 344.00754, 0.0
42, 11.640779, 9.842746, 0.0, 10.69741, 0.03706564, 1.0881866, 0.93562114, 8.971754, 295.33612, 325.98868, 0.0
43, 11.932038, 10.423283, 0.0, 11.140495, 0.040585075, 1.071051, 0.95766, 9.730608, 279.71054, 308.6993, 0.0
44, 12.106258, 11.12495, 0.0, 11.616806, 0.04186615, 1.0421331, 0.98482466, 10.279757, 293.75845, 292.32358, 0.0
45, 12.298092, 11.926384, 0.0, 12.11016, 0.041591913, 1.0155185, 1.0054274, 11.083603, 268.592, 274.66766, 0.0
46, 12.53487, 12.678134, 0.0, 12.609697, 0.04042139, 0.9940659, 1.0684392, 11.827995, 245.9596, 268.92563, 0.0
47, 12.25707, 14.030741, 0.0, 13.131997, 0.04058563, 0.93337435, 1.0915626, 12.4021015, 276.87122, 269.53418, 0.0
48, 11.984612, 14.682447, 0.0, 13.450852, 0.0239907, 0.89099276, 1.1737585, 12.5630245, 254.66125, 303.17972, 0.0
49, 11.715154, 16.516878, 0.0, 14.071785, 0.045129247, 0.83252794, 1.1840355, 12.921172, 290.57434, 280.0617, 0.0
50, 11.406169, 16.43061, 0.0, 13.876789, -0.013954132, 0.8219603, 1.2263389, 12.897108, 290.50208, 281.03766, 0.0
51, 11.199655, 16.702543, 0.0, 13.6198435, -0.018689785, 0.8223042, 1.1846904, 13.68427, 345.90628, 271.56662, 0.0
52, 10.909038, 15.481522, 0.0, 13.067989, -0.04136213, 0.8347908, 1.215739, 13.387883, 318.20862, 284.6438, 0.0
53, 10.7056875, 15.789684, 0.0, 12.987725, -0.006160978, 0.8242927, 1.1790434, 14.158671, 348.3716, 283.72916, 0.0
54, 10.483835, 14.798964, 0.0, 12.55167, -0.03415097, 0.8352542, 1.1408217, 14.3844795, 331.86142, 305.36057, 0.0
55, 10.656109, 14.091573, 0.0, 12.352125, -0.016025603, 0.8626944, 1.0979308, 14.669445, 334.39804, 326.04877, 0.0
56, 10.828998, 13.207013, 0.0, 12.029003, -0.026507465, 0.90024066, 1.0803819, 15.025828, 340.83783, 347.2019, 0.0
57, 10.690747, 12.622528, 0.0, 11.683395, -0.029152026, 0.9150377, 1.0512166, 15.093562, 340.2867, 359.67783, 0.0
58, 10.538642, 11.79602, 0.0, 11.221302, -0.040354695, 0.9391639, 1.0281514, 15.308124, 314.1004, 373.09402, 0.0
59, 10.297956, 10.946916, 0.0, 10.647182, -0.05251864, 0.96720016, 1.0070885, 15.865658, 342.32642, 398.8511, 0.0
60, 10.151613, 10.316392, 0.0, 10.243778, -0.038624782, 0.99100286, 0.9887469, 16.223782, 327.43536, 415.5959, 0.0
61, 10.0626, 9.80893, 0.0, 9.9205675, -0.032060392, 1.014317, 0.9712855, 16.701626, 335.42383, 426.75406, 0.0
62, 10.148954, 9.5185995, 0.0, 9.800001, -0.0122276265, 1.0356075, 0.9519429, 15.975551, 353.69952, 438.60712, 0.0
63, 10.143535, 9.105016, 0.0, 9.564666, -0.024306841, 1.0605216, 0.94601434, 16.44423, 353.07724, 444.65494, 0.0
64, 10.100334, 8.962295, 0.0, 9.473741, -0.00955184, 1.06614, 0.9362795, 16.295723, 359.77103, 440.77087, 0.0
65, 10.301803, 8.971374, 0.0, 9.58194, 0.011356223, 1.075127, 0.91157645, 16.856133, 370.79703, 437.17334, 0.0
66, 10.388141, 8.546178, 0.0, 9.375163, -0.021816079, 1.108049, 0.9258245, 17.166431, 378.15326, 462.08432, 0.0
67, 10.262905, 8.72696, 0.0, 9.426149, 0.005423708, 1.0887697, 0.91859996, 17.411934, 379.91174, 454.65997, 0.0
68, 10.428568, 8.731691, 0.0, 9.505434, 0.008375964, 1.0971165, 0.92060864, 17.137575, 383.25888, 457.2571, 0.0
69, 10.476068, 8.8141165, 0.0, 9.574227, 0.0072111967, 1.0941945, 0.9064368, 17.624498, 383.67398, 455.2132, 0.0
70, 10.69807, 8.7104025, 0.0, 9.609498, 0.0036771514, 1.1132808, 0.9139903, 17.474472, 371.96228, 450.34998, 0.0
71, 10.842586, 9.009457, 0.0, 9.857278, 0.025458066, 1.0999573, 0.91251093, 17.569893, 380.92004, 442.692, 0.0
72, 11.042084, 9.153484, 0.0, 10.0310955, 0.017479766, 1.1007854, 0.9303669, 17.8416, 340.1106, 391.79987, 0.0
73, 11.225446, 9.674628, 0.0, 10.398724, 0.03599325, 1.0795022, 0.94176227, 17.864231, 326.50845, 372.7846, 0.0
74, 11.471289, 10.164725, 0.0, 10.793303, 0.037242737, 1.0628154, 0.9516095, 17.86341, 325.75043, 351.35617, 0.0
75, 11.68137, 10.5763235, 0.0, 11.114142, 0.029292583, 1.0510366, 0.97456145, 17.69613, 353.5517, 372.88483, 0.0
76, 11.765501, 11.167374, 0.0, 11.458871, 0.030545792, 1.0267591, 1.0032287, 17.870392, 369.41547, 388.5935, 0.0
77, 11.560844, 11.640295, 0.0, 11.602834, 0.012485177, 0.9963811, 1.0145078, 17.80296, 350.7676, 393.1537, 0.0
78, 11.40719, 11.751641, 0.0, 11.58359, -0.0016599541, 0.9847716, 1.0047978, 17.998695, 367.54254, 385.80002, 0.0
79, 11.313946, 11.427174, 0.0, 11.37261, -0.018381562, 0.99484164, 1.0079095, 17.729267, 363.60376, 390.93042, 0.0
80, 11.208952, 11.3934765, 0.0, 11.304067, -0.0060452987, 0.9915858, 0.9913399, 18.040518, 368.30154, 391.80145, 0.0
81, 11.206643, 11.005556, 0.0, 11.101698, -0.01806448, 1.009453, 0.97437847, 17.98349, 368.59555, 402.3424, 0.0
82, 11.145094, 10.555027, 0.0, 10.832574, -0.024540367, 1.0288501, 0.9594331, 18.203695, 370.96286, 417.70728, 0.0
83, 11.182514, 10.242945, 0.0, 10.676039, -0.014555835, 1.0474404, 0.96411705, 18.348864, 363.2732, 424.82443, 0.0
84, 11.112331, 10.2996235, 0.0, 10.68296, 6.480467E-4, 1.0401922, 0.96245295, 18.175852, 376.06372, 421.2264, 0.0
85, 11.136528, 10.2868, 0.0, 10.6881075, 4.8176668E-4, 1.0419551, 0.9699637, 18.323727, 377.11475, 421.38696, 0.0
86, 11.132955, 10.455184, 0.0, 10.778943, 0.008462841, 1.0328429, 0.9688825, 18.24271, 378.14227, 413.4769, 0.0
87, 11.144496, 10.443652, 0.0, 10.77907, 1.1767196E-5, 1.0339015, 0.96635574, 18.337378, 379.22565, 413.15353, 0.0
88, 11.103983, 10.344145, 0.0, 10.704283, -0.006962362, 1.0373402, 0.9587683, 18.3335, 376.86243, 418.2617, 0.0
89, 11.1094, 10.179117, 0.0, 10.616869, -0.008199771, 1.0463914, 0.95256853, 18.235119, 377.37933, 424.60437, 0.0
90, 11.144035, 10.074033, 0.0, 10.575651, -0.0038898494, 1.0537446, 0.9575459, 18.355959, 378.6849, 429.08868, 0.0
91, 11.12126, 10.165876, 0.0, 10.616594, 0.0038639791, 1.0475355, 0.96130437, 18.207466, 378.64124, 423.96097, 0.0
92, 11.105787, 10.234556, 0.0, 10.64653, 0.0028157532, 1.0431368, 0.96356946, 18.382626, 378.17218, 421.5752, 0.0
93, 11.096253, 10.276514, 0.0, 10.665048, 0.0017377877, 1.0404316, 0.9658111, 18.411953, 377.9792, 419.49374, 0.0
94, 11.092724, 10.324277, 0.0, 10.689748, 0.0023133142, 1.0376974, 0.96240866, 18.445583, 378.31918, 417.1442, 0.0
95, 11.126241, 10.280512, 0.0, 10.682065, -7.189657E-4, 1.0415814, 0.9619527, 18.517267, 379.2098, 419.45978, 0.0
96, 11.120021, 10.263561, 0.0, 10.669507, -0.0011763055, 1.0422244, 0.96011233, 18.305445, 378.4953, 420.04898, 0.0
97, 11.111282, 10.213281, 0.0, 10.637589, -0.0029959593, 1.0445302, 0.95866, 18.405697, 378.04706, 422.04697, 0.0
98, 11.094732, 10.164819, 0.0, 10.603153, -0.003242472, 1.0463616, 0.957964, 18.282404, 378.15448, 424.08972, 0.0
99, 11.080435, 10.135883, 0.0, 10.580651, -0.0021244488, 1.0472356, 0.9558129, 18.241758, 378.12384, 424.8958, 0.0
100, 11.094731, 10.1021185, 0.0, 10.569139, -0.0010886877, 1.049729, 0.95744175, 18.42107, 378.76373, 426.26727, 0.0
101, 11.07594, 10.110344, 10.05, 10.559749, -8.88819E-4, 1.048883, 0.95891005, 18.457624, 378.54282, 425.1698, 8.489352
102, 11.055006, 10.120498, 10.05, 10.554168, -5.286468E-4, 1.0474541, 0.9619387, 18.486294, 377.87436, 424.84143, 9.9437685
103, 11.029613, 10.167938, 10.110855, 10.570256, 0.0015232121, 1.0434574, 0.96281147, 18.643795, 378.49658, 421.23553, 9.564779
104, 10.995124, 10.150049, 10.142157, 10.542094, -0.002667824, 1.0429734, 0.9620944, 18.579876, 376.50195, 422.56433, 12.258319
105, 10.97173, 10.120596, 10.417884, 10.519338, -0.0021609722, 1.0430058, 0.9640342, 18.801617, 376.19757, 422.78824, 15.826952
106, 10.916987, 10.118219, 10.540853, 10.495706, -0.0022490611, 1.0401385, 0.9654316, 18.87469, 388.33386, 434.5567, 9.768032
107, 10.884085, 10.123875, 10.828841, 10.486372, -8.8967464E-4, 1.0379267, 0.9684317, 18.868288, 379.64856, 435.52036, 20.10076
108, 10.827708, 10.127353, 10.906312, 10.457478, -0.0027592294, 1.0354035, 0.9689109, 18.820179, 385.2811, 433.41565, 0.97721046
109, 10.79035, 10.112887, 11.060794, 10.437376, -0.0019240674, 1.0338182, 0.96884096, 18.95517, 383.0556, 431.16098, 7.537232
110, 10.746676, 10.074181, 10.86916, 10.398178, -0.0037626037, 1.0335153, 0.9654796, 18.931065, 385.61896, 432.01913, 11.859742
111, 10.72347, 10.01402, 11.203017, 10.372067, -0.0025142373, 1.0338796, 0.96297395, 19.262703, 385.2834, 433.35077, 23.792664
112, 10.678127, 9.940981, 11.813769, 10.323209, -0.004721728, 1.0343807, 0.96043956, 19.220713, 385.71127, 435.7242, 19.891657
113, 10.640733, 9.855282, 12.413885, 10.26122, -0.006022904, 1.0369852, 0.95597893, 19.4825, 381.8692, 437.99615, 15.271802
114, 10.602514, 9.76661, 12.938148, 10.216345, -0.0043828664, 1.0377991, 0.9542481, 19.356247, 385.34814, 440.6273, 18.133484
115, 10.559085, 9.671537, 13.518414, 10.135244, -0.007969981, 1.0418185, 0.9503176, 19.51906, 380.7502, 442.74573, 12.984067
116, 10.497846, 9.575864, 13.863961, 10.076488, -0.005814147, 1.041816, 0.94785523, 19.489443, 379.37195, 444.72253, 16.577606
117, 10.462634, 9.50599, 14.578114, 10.028947, -0.0047291447, 1.0432435, 0.947287, 19.378912, 384.75455, 447.0162, 14.707456
118, 10.404604, 9.465473, 15.155137, 9.992191, -0.0036716796, 1.0412735, 0.94721997, 19.583624, 380.21732, 445.75873, 15.104257
119, 10.361916, 9.448874, 16.05686, 9.975375, -0.0016843458, 1.0387495, 0.9485486, 19.490326, 379.7415, 443.6279, 14.270327
120, 10.282501, 9.427486, 17.01473, 9.938854, -0.0036678296, 1.0345762, 0.9486933, 19.609528, 379.51932, 442.24588, 13.528988
121, 10.23492, 9.400601, 17.61244, 9.908999, -0.0030083654, 1.0328913, 0.94974184, 19.720911, 380.5576, 441.17392, 13.015053
122, 10.1499, 9.369169, 18.710491, 9.8649645, -0.0044538393, 1.0288836, 0.94812316, 19.897436, 382.5506, 440.44647, 12.3643
123, 10.097632, 9.308358, 19.968752, 9.817668, -0.004805924, 1.0285164, 0.9479224, 20.083965, 368.6961, 436.78186, 11.746085
124, 10.011724, 9.253557, 21.338827, 9.761935, -0.005692953, 1.025588, 0.9467584, 20.175827, 382.22787, 441.91525, 11.15878
125, 9.945473, 9.18657, 22.91827, 9.703183, -0.006036669, 1.02497, 0.943353, 20.410664, 356.05338, 438.1595, 10.6008415
126, 9.90612, 9.122233, 24.648823, 9.670011, -0.0034245919, 1.0244167, 0.94234246, 20.518534, 384.51605, 441.12137, 10.0708
127, 9.860131, 9.081904, 26.657001, 9.637584, -0.003358975, 1.0230917, 0.94183034, 20.837652, 359.06488, 436.83215, 9.56726
128, 9.797607, 9.054496, 28.872362, 9.613723, -0.0024788908, 1.0191272, 0.94171274, 20.74164, 382.86496, 438.8962, 9.088897
129, 9.726093, 9.023113, 31.435907, 9.581598, -0.0033471228, 1.0150805, 0.94030845, 21.247608, 371.7442, 437.04065, 8.71066
130, 9.653275, 8.958746, 34.337456, 9.527454, -0.0056668483, 1.013206, 0.9385717, 20.88341, 380.17032, 442.53748, 8.216107
131, 9.574395, 8.8978195, 37.612183, 9.48017, -0.00497529, 1.0099392, 0.9355049, 21.28747, 357.88956, 439.18372, 7.892677
132, 9.52058, 8.832106, 41.316685, 9.441004, -0.004139966, 1.0084288, 0.93358064, 21.461319, 379.77875, 442.25247, 7.499929
133, 9.4435625, 8.774412, 45.436424, 9.398665, -0.0044946056, 1.004777, 0.9301233, 21.755554, 358.26837, 438.83173, 7.155194
134, 9.390919, 8.70205, 49.99172, 9.355803, -0.0045709605, 1.0037534, 0.92864174, 21.591846, 379.87387, 442.53537, 6.7912593
135, 9.311426, 8.663109, 54.94343, 9.328795, -0.0028908432, 0.9981381, 0.92676777, 21.661568, 357.85245, 437.75443, 6.524726
136, 9.259047, 8.625607, 60.42263, 9.307193, -0.0023183788, 0.994827, 0.9268463, 21.572441, 379.6729, 440.62933, 6.2330885
137, 9.172924, 8.575947, 65.957344, 9.252825, -0.005858634, 0.9913647, 0.92409414, 21.975306, 357.16345, 435.20908, 5.698338
138, 9.109945, 8.501383, 70.19112, 9.199694, -0.005758699, 0.9902444, 0.9444441, 21.770126, 367.1153, 438.28076, 5.558233
139, 9.011567, 8.453032, 70.64806, 8.950272, -0.02748631, 1.0068485, 0.9224779, 21.908037, 368.02954, 437.95108, 3.163938
140, 8.935631, 8.406984, 72.595924, 9.113481, 0.018070819, 0.98048496, 0.9262715, 21.839176, 372.15497, 437.58118, 5.912452
141, 8.814778, 8.346014, 76.88639, 9.010332, -0.011382768, 0.9782967, 0.95666206, 22.149431, 360.6529, 435.94357, 5.305736
142, 8.782151, 8.260961, 78.49199, 8.635192, -0.042525996, 1.0170187, 0.912045, 21.958788, 376.3643, 440.26718, 1.5667933
143, 8.712653, 8.192284, 80.5872, 8.982324, 0.03941267, 0.9699777, 0.9238486, 22.14996, 368.30948, 441.1592, 6.2545342
144, 8.6618185, 8.102837, 85.344635, 8.7707405, -0.023837367, 0.9875812, 0.9144901, 22.326012, 374.08975, 444.68182, 4.4107904
145, 8.638114, 8.021442, 90.1688, 8.771492, 8.567842E-5, 0.98479414, 0.9090734, 22.395288, 373.56613, 448.82916, 4.7479496
146, 8.624932, 7.933833, 96.730865, 8.727385, -0.0050411844, 0.9882608, 0.90943986, 22.492743, 351.4149, 445.39352, 4.4253454
147, 8.61755, 7.8876023, 102.5846, 8.673034, -0.006247095, 0.9936027, 0.9188929, 23.53914, 379.57718, 449.6551, 3.9849563
148, 8.516474, 7.8800077, 106.35478, 8.575545, -0.011304054, 0.9931116, 0.9125595, 23.320189, 350.17337, 432.24362, 3.2862523
149, 8.485181, 7.846689, 108.0238, 8.598551, 0.0026790928, 0.9868152, 0.91781604, 22.930468, 373.8868, 446.67374, 3.8041072
150, 8.358194, 7.847369, 110.476616, 8.550046, -0.0056570177, 0.97756135, 0.91535395, 23.499264, 352.06516, 439.794, 3.6945982
151, 8.333912, 7.8570595, 110.704, 8.58363, 0.003920196, 0.9709077, 0.9350663, 23.743328, 375.13913, 440.07275, 4.0483823
152, 8.368839, 7.8731937, 115.22061, 8.419931, -0.019255172, 0.993932, 0.90296006, 24.31138, 378.37537, 437.9492, 2.4229763
153, 8.348704, 7.8559074, 116.476875, 8.700171, 0.03274105, 0.9596023, 0.9203373, 23.926584, 376.91925, 439.69202, 4.6734705
154, 8.41395, 7.810782, 120.16279, 8.486869, -0.024822606, 0.99140805, 0.90503335, 24.128792, 378.9338, 443.7259, 2.9337423
155, 8.395094, 7.73172, 122.886925, 8.543022, 0.006594699, 0.9826843, 0.90376693, 24.676758, 377.53848, 448.83447, 3.6730375
156, 8.373503, 7.668343, 124.46831, 8.484868, -0.00683048, 0.9868748, 0.92033577, 24.339376, 376.05402, 453.32602, 3.5525029
157, 8.370976, 7.5933924, 123.97324, 8.250676, -0.027989192, 1.0145806, 0.8959943, 24.25599, 375.9916, 456.72284, 2.2032378
158, 8.388026, 7.551607, 127.21136, 8.428186, 0.02128646, 0.995235, 0.88934904, 24.945797, 376.89252, 459.6113, 3.519201
159, 8.37502, 7.539246, 129.771, 8.477263, 0.005806077, 0.9879391, 0.90608805, 24.682076, 377.28198, 459.15417, 3.8688707
160, 8.34137, 7.551276, 132.22331, 8.333932, -0.017052326, 1.0008925, 0.9062046, 24.734419, 376.96466, 457.1083, 2.8650954
161, 8.299482, 7.568754, 135.5034, 8.352147, 0.0021832795, 0.9936945, 0.9206042, 24.983803, 375.8185, 455.12097, 2.9597135
162, 8.317092, 7.596013, 137.80707, 8.251117, -0.0121700885, 1.007996, 0.889982, 24.48732, 376.7578, 453.27463, 2.100138
163, 8.323748, 7.613914, 136.67296, 8.555133, 0.036182884, 0.9729536, 0.9087401, 24.229725, 367.14377, 448.71378, 3.9595537
164, 8.287109, 7.641931, 138.2856, 8.409369, -0.017184941, 0.9854614, 0.89601773, 24.4731, 378.22168, 447.79797, 3.002081
165, 8.368402, 7.660399, 139.31837, 8.549383, 0.016512638, 0.97883105, 0.9104394, 26.326544, 380.4614, 447.7447, 3.5703733
166, 8.335277, 7.6851063, 142.28424, 8.441096, -0.012746941, 0.9874638, 0.90987533, 24.948322, 378.38043, 446.74152, 2.8225017
167, 8.317391, 7.6776633, 144.85289, 8.4381485, -3.492819E-4, 0.98568916, 0.91465497, 25.344059, 377.58777, 447.5705, 2.829365
168, 8.377076, 7.6691446, 145.99455, 8.384741, -0.006349426, 0.9990859, 0.89724374, 25.4498, 379.00433, 449.45212, 2.3583453
169, 8.325236, 7.6528273, 146.17088, 8.529263, 0.017089417, 0.9760793, 0.9115326, 24.792433, 377.14594, 450.53745, 3.427845
170, 8.330157, 7.6385365, 147.69124, 8.379883, -0.017668974, 0.99406606, 0.90448374, 25.59109, 377.19186, 451.33554, 2.53642
171, 8.372259, 7.6099987, 147.02388, 8.413638, 0.004020044, 0.9950819, 0.8984362, 25.704271, 378.03345, 453.7345, 2.743533
172, 8.37091, 7.600318, 148.63245, 8.4594965, 0.005435682, 0.9895281, 0.91006625, 25.742899, 378.17697, 454.86664, 3.0270658
173, 8.462982, 7.6059647, 149.11285, 8.3575945, -0.012119011, 1.0126098, 0.9060901, 24.807531, 380.38113, 455.9479, 2.1499474
174, 8.468104, 7.632527, 150.48087, 8.423585, 0.007864857, 1.0052851, 0.9083224, 25.80589, 380.36096, 455.34866, 2.4164462
175, 8.4786825, 7.653757, 150.52168, 8.426256, 3.1706432E-4, 1.0062218, 0.89489293, 25.60981, 379.86642, 455.1982, 2.3345244
176, 8.535784, 7.683121, 151.93048, 8.58552, 0.018724473, 0.99420696, 0.90638393, 26.199837, 381.32047, 454.4917, 2.9934666
177, 8.54978, 7.7050915, 151.91466, 8.500914, -0.0099033965, 1.0057484, 0.89770937, 25.023798, 381.6424, 453.81168, 2.3882222
178, 8.593346, 7.7379217, 153.45491, 8.619629, 0.013868391, 0.99695075, 0.90979713, 27.129005, 381.282, 454.20255, 2.8342173
179, 8.61429, 7.7699323, 153.7141, 8.540291, -0.0092469705, 1.0086647, 0.8952717, 26.77164, 381.46484, 453.4889, 2.2119756
180, 8.63513, 7.7923436, 154.31354, 8.703887, 0.018974643, 0.9921004, 0.90892714, 26.869051, 381.9759, 453.07544, 3.0167065
181, 8.585976, 7.7970657, 154.7573, 8.578318, -0.014531891, 1.0008928, 0.90098816, 27.407185, 379.70618, 452.65997, 2.3993468
182, 8.585484, 7.8123846, 155.93317, 8.670907, 0.010735586, 0.99014825, 0.90833616, 27.391039, 378.0568, 453.54706, 2.8634298
183, 8.574861, 7.81665, 156.65115, 8.605459, -0.007576607, 0.9964443, 0.9164551, 27.491581, 377.9959, 453.1831, 2.4927526
184, 8.580663, 7.829088, 156.75058, 8.542795, -0.0073085353, 1.0044327, 0.9070971, 27.706205, 378.68652, 452.2699, 2.0811856
185, 8.560457, 7.8342896, 156.97867, 8.636661, 0.010927741, 0.9911768, 0.9155035, 28.867191, 377.81726, 451.83142, 2.63801
186, 8.599277, 7.8415728, 156.94843, 8.565311, -0.008295509, 1.0039654, 0.9059407, 28.312128, 378.94324, 451.7127, 2.1164887
187, 8.6219, 7.851762, 158.10904, 8.666971, 0.011798896, 0.9947996, 0.9136746, 27.234512, 379.78296, 451.42627, 2.5770817
188, 8.637675, 7.854952, 157.64827, 8.5971, -0.008094421, 1.0047196, 0.90803057, 27.610209, 379.18137, 452.45322, 2.1496096
189, 8.634425, 7.849829, 158.4912, 8.644896, 0.00554407, 0.99878883, 0.9028801, 28.309607, 379.34286, 452.43033, 2.4270465
190, 8.665671, 7.8562303, 158.66924, 8.7013, 0.006503364, 0.9959054, 0.9055205, 28.332317, 380.2186, 452.8902, 2.6423686
191, 8.733033, 7.8622384, 159.37677, 8.682563, -0.0021556597, 1.0058129, 0.895284, 29.098093, 381.58572, 454.58447, 2.346791
192, 8.754127, 7.860011, 159.8497, 8.779349, 0.011085555, 0.99712706, 0.89985776, 28.083017, 367.03534, 441.94543, 2.7507412
193, 8.763926, 7.8738885, 160.8507, 8.750148, -0.0033317024, 1.0015745, 0.90140116, 28.73973, 380.6048, 456.41345, 2.5949435
194, 8.821543, 7.907379, 161.51553, 8.77232, 0.0025306921, 1.0056112, 0.90605885, 28.772469, 383.6106, 454.32254, 2.449074
195, 8.831656, 7.932382, 161.48776, 8.75482, -0.001996895, 1.0087765, 0.9107949, 30.27912, 382.90845, 454.27805, 2.25357
